Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
56,Travel_Rarely,1039,Research & Development,26,3,Life Sciences,1,1,4,Female,59,2,4,Healthcare Representative,4,Married,12706,19648,3,Y,No,18,3,3,80,0,27,4,3,10,1,9,4,No
46,Travel_Frequently,988,Research & Development,29,2,Technical Degree,1,2,1,Male,50,3,5,Laboratory Technician,3,Single,16795,14540,3,Y,No,15,3,1,80,2,11,4,2,1,1,1,1,Yes
32,Travel_Rarely,1280,Research & Development,5,4,Marketing,1,3,3,Female,91,3,5,Sales Representative,4,Single,16832,15223,1,Y,No,19,4,4,80,0,14,3,4,14,9,1,3,No
25,Travel_Rarely,767,Sales,23,3,Life Sciences,1,4,4,Male,39,3,3,Human Resources,1,Married,9902,7339,7,Y,No,17,3,2,80,2,7,2,3,7,7,3,7,No
38,Travel_Frequently,732,Research & Development,29,4,Technical Degree,1,5,2,Male,42,3,1,Human Resources,4,Single,4698,25887,2,Y,Yes,23,3,3,80,3,14,4,4,14,14,13,2,No
56,Travel_Rarely,676,Sales,21,4,Other,1,6,1,Female,38,4,2,Sales Executive,1,Single,6717,7848,1,Y,No,23,3,2,80,1,17,2,3,17,13,4,10,Yes
36,Travel_Rarely,236,Human Resources,16,2,Human Resources,1,7,3,Female,97,2,4,Sales Executive,4,Single,14195,18877,6,Y,No,17,3,3,80,0,6,3,1,6,6,6,3,No
40,Travel_Rarely,527,Research & Development,13,5,Medical,1,8,2,Female,68,4,1,Healthcare Representative,3,Single,3825,20405,0,Y,No,18,3,4,80,0,12,0,3,12,2,5,8,No
28,Travel_Rarely,711,Research & Development,13,1,Human Resources,1,9,1,Female,53,4,1,Sales Executive,3,Married,4255,20131,5,Y,No,22,3,2,80,1,10,4,4,10,7,10,10,No
28,Travel_Rarely,1010,Sales,17,5,Marketing,1,10,1,Female,63,1,4,Manufacturing Director,1,Married,13776,17861,2,Y,No,14,3,1,80,0,4,1,3,4,4,4,4,Yes
41,Travel_Frequently,918,Research & Development,27,3,Marketing,1,11,4,Female,90,4,2,Sales Executive,2,Divorced,7977,15465,2,Y,No,20,3,3,80,0,23,5,1,23,11,2,9,No
53,Non-Travel,240,Research & Development,7,5,Human Resources,1,12,3,Female,70,4,1,Research Scientist,2,Married,4712,23471,4,Y,Yes,23,3,1,80,0,1,3,4,1,0,1,1,Yes
57,Travel_Rarely,1206,Research & Development,8,3,Human Resources,1,13,2,Male,34,1,5,Research Scientist,4,Divorced,17296,5302,2,Y,Yes,23,3,1,80,3,32,5,4,28,15,8,9,Yes
41,Travel_Rarely,276,Research & Development,13,3,Technical Degree,1,14,1,Female,79,3,5,Manufacturing Director,3,Married,16966,16437,3,Y,No,16,3,4,80,0,23,0,4,23,11,10,8,No
20,Travel_Frequently,297,Research & Development,23,1,Life Sciences,1,15,4,Male,33,3,4,Research Director,2,Divorced,14421,17162,2,Y,No,15,3,1,80,3,2,1,2,2,2,2,0,No
39,Travel_Frequently,723,Research & Development,27,2,Other,1,16,2,Male,80,4,2,Research Scientist,3,Divorced,7511,16512,6,Y,No,11,4,3,80,1,21,5,4,1,1,1,1,Yes
19,Travel_Rarely,790,Research & Development,16,1,Technical Degree,1,17,2,Female,81,1,4,Human Resources,3,Married,12629,25511,2,Y,No,24,3,1,80,3,1,1,2,1,1,1,1,Yes
41,Travel_Frequently,500,Sales,29,5,Medical,1,18,1,Male,68,3,1,Human Resources,3,Married,5008,7022,9,Y,No,23,4,1,80,0,23,4,1,4,3,4,4,Yes
47,Non-Travel,570,Sales,4,3,Human Resources,1,19,2,Female,37,1,5,Research Scientist,4,Single,15502,12471,3,Y,Yes,19,3,3,80,0,3,2,4,3,3,3,3,Yes
55,Travel_Rarely,317,Human Resources,8,4,Medical,1,20,1,Male,74,2,3,Sales Executive,1,Single,11489,8155,1,Y,Yes,12,3,1,80,0,18,3,4,18,14,6,13,No
19,Travel_Rarely,1028,Sales,16,4,Medical,1,21,4,Male,57,2,4,Human Resources,4,Divorced,13874,24793,1,Y,Yes,16,3,4,80,3,1,1,4,1,1,1,1,Yes
38,Travel_Frequently,731,Research & Development,21,3,Technical Degree,1,22,4,Male,56,2,3,Research Scientist,2,Divorced,10054,7254,8,Y,No,18,4,3,80,2,20,4,1,6,5,6,0,Yes
50,Non-Travel,1050,Research & Development,10,1,Other,1,23,2,Female,94,2,3,Research Director,1,Married,10656,6354,0,Y,No,13,3,4,80,2,23,0,2,23,2,8,11,No
29,Travel_Rarely,1005,Research & Development,25,2,Marketing,1,24,1,Male,63,4,5,Laboratory Technician,2,Divorced,17213,21837,0,Y,No,15,3,1,80,1,11,6,3,11,11,9,10,No
39,Travel_Rarely,274,Human Resources,12,1,Life Sciences,1,25,3,Male,91,2,4,Sales Executive,1,Divorced,14017,4516,9,Y,No,24,3,2,80,1,21,1,1,9,5,9,9,Yes
42,Travel_Rarely,122,Research & Development,12,3,Marketing,1,26,4,Male,91,2,3,Sales Executive,1,Married,9765,17872,0,Y,Yes,17,4,4,80,1,24,0,1,24,10,14,3,Yes
44,Travel_Rarely,334,Research & Development,26,3,Other,1,27,1,Female,67,1,1,Research Scientist,4,Married,4422,12156,2,Y,Yes,14,3,4,80,0,26,3,1,15,1,1,5,No
59,Non-Travel,1136,Sales,5,2,Marketing,1,28,1,Male,55,3,2,Sales Representative,3,Married,6523,24453,1,Y,No,24,3,1,80,2,34,4,2,34,1,4,12,No
45,Travel_Rarely,1224,Research & Development,16,5,Human Resources,1,29,1,Female,53,1,2,Manager,3,Married,7033,25758,2,Y,No,22,3,2,80,2,27,0,2,20,0,2,12,Yes
33,Travel_Rarely,1028,Sales,1,5,Human Resources,1,30,2,Male,68,4,5,Research Scientist,1,Single,17380,10838,4,Y,Yes,15,3,3,80,1,15,2,2,15,10,6,5,No
32,Non-Travel,622,Research & Development,28,2,Technical Degree,1,31,3,Male,50,2,4,Manufacturing Director,4,Married,12502,14734,8,Y,No,11,3,2,80,2,3,5,2,3,3,2,3,No
20,Travel_Rarely,530,Research & Development,9,5,Medical,1,32,2,Male,76,3,4,Research Scientist,2,Married,14435,13022,1,Y,No,14,3,3,80,1,2,0,2,2,2,2,2,No
54,Non-Travel,892,Research & Development,12,4,Other,1,33,4,Female,77,3,2,Sales Executive,2,Married,8193,7208,0,Y,Yes,24,3,1,80,0,30,0,4,16,2,4,14,No
24,Travel_Rarely,632,Sales,5,5,Other,1,34,2,Male,42,2,1,Laboratory Technician,3,Divorced,4379,18578,5,Y,No,24,3,2,80,2,6,4,3,6,4,1,6,No
38,Non-Travel,1078,Research & Development,22,5,Marketing,1,35,1,Male,32,2,2,Manufacturing Director,3,Married,6926,15725,2,Y,Yes,17,3,1,80,0,13,4,3,5,5,5,1,Yes
26,Travel_Rarely,1416,Research & Development,20,5,Technical Degree,1,36,2,Male,61,4,2,Healthcare Representative,2,Single,6503,11337,6,Y,No,22,3,4,80,0,8,1,2,1,1,0,1,Yes
56,Non-Travel,909,Sales,22,4,Marketing,1,37,1,Male,64,4,4,Healthcare Representative,2,Divorced,14142,12701,5,Y,Yes,20,3,2,80,2,13,5,2,7,7,7,1,Yes
35,Travel_Rarely,1012,Sales,28,5,Marketing,1,38,3,Female,48,2,3,Sales Representative,4,Married,10307,22675,6,Y,No,17,3,3,80,3,0,0,4,0,0,0,0,No
21,Travel_Rarely,1224,Sales,24,4,Other,1,39,2,Male,43,2,1,Research Director,2,Single,4283,12275,4,Y,No,20,3,4,80,1,3,0,2,3,3,3,3,No
42,Travel_Rarely,1427,Research & Development,3,2,Marketing,1,40,2,Male,77,2,4,Human Resources,4,Married,13002,8210,0,Y,No,20,3,3,80,2,17,4,4,8,6,0,8,No
31,Travel_Rarely,970,Sales,5,1,Medical,1,41,2,Male,97,2,2,Sales Representative,3,Married,6731,13544,2,Y,Yes,14,3,4,80,0,4,6,4,4,4,4,0,Yes
26,Travel_Rarely,639,Human Resources,2,2,Marketing,1,42,1,Male,74,3,3,Healthcare Representative,2,Divorced,10372,23514,2,Y,Yes,22,3,3,80,1,8,2,1,6,6,6,6,Yes
43,Travel_Rarely,1123,Research & Development,14,1,Medical,1,43,1,Female,48,4,1,Human Resources,3,Married,4249,18327,6,Y,No,16,3,3,80,0,15,6,1,15,14,4,2,No
19,Travel_Rarely,1478,Research & Development,2,2,Other,1,44,2,Male,93,2,5,Research Director,1,Single,15571,16041,2,Y,Yes,23,3,1,80,1,1,4,2,1,1,0,1,Yes
37,Travel_Rarely,1426,Sales,13,1,Technical Degree,1,45,2,Male,95,2,1,Human Resources,1,Married,3587,18705,4,Y,No,15,3,4,80,2,19,2,4,0,0,0,0,No
45,Travel_Frequently,326,Research & Development,7,1,Human Resources,1,46,3,Female,95,3,1,Research Director,1,Divorced,4027,12479,3,Y,No,11,3,1,80,0,27,5,2,1,1,1,1,Yes
24,Travel_Rarely,1359,Research & Development,10,3,Medical,1,47,3,Male,74,1,2,Manager,2,Married,7385,13323,3,Y,Yes,18,3,1,80,1,6,6,1,6,6,0,6,No
25,Travel_Rarely,972,Research & Development,13,1,Technical Degree,1,48,4,Male,96,2,2,Manufacturing Director,3,Divorced,7102,14937,6,Y,No,22,3,1,80,1,7,4,1,7,5,3,7,Yes
52,Travel_Rarely,991,Research & Development,16,1,Technical Degree,1,49,3,Male,98,3,5,Human Resources,2,Single,15949,25089,0,Y,No,17,3,1,80,2,22,5,1,22,16,6,11,No
31,Travel_Rarely,1136,Research & Development,26,3,Medical,1,50,3,Female,32,3,5,Human Resources,3,Divorced,15938,3702,6,Y,No,15,3,3,80,1,10,3,1,10,8,3,10,Yes
34,Non-Travel,309,Research & Development,14,5,Other,1,51,3,Male,67,1,5,Human Resources,4,Married,17055,12404,7,Y,No,23,3,1,80,1,16,0,1,16,5,11,16,No
53,Non-Travel,840,Research & Development,11,5,Life Sciences,1,52,1,Female,71,4,4,Laboratory Technician,2,Married,13958,2830,2,Y,No,20,4,1,80,0,1,5,2,1,1,1,1,Yes
57,Travel_Frequently,496,Research & Development,10,3,Technical Degree,1,53,3,Female,69,4,4,Laboratory Technician,1,Married,14247,10380,2,Y,Yes,20,4,1,80,2,34,2,2,4,3,4,3,Yes
21,Travel_Frequently,1223,Sales,6,4,Technical Degree,1,54,3,Female,79,4,2,Manager,4,Divorced,7607,23990,3,Y,Yes,17,3,3,80,2,3,3,1,3,3,3,3,No
19,Travel_Rarely,130,Sales,4,1,Other,1,55,2,Female,64,2,2,Manager,3,Married,7862,2091,5,Y,No,20,3,4,80,0,1,2,2,1,1,1,0,No
23,Travel_Rarely,997,Sales,21,1,Other,1,56,1,Female,53,4,5,Manager,2,Divorced,17476,5877,6,Y,No,13,3,3,80,3,5,1,1,1,1,1,1,Yes
59,Travel_Rarely,748,Research & Development,1,3,Marketing,1,57,4,Female,46,2,4,Healthcare Representative,3,Married,12625,12103,0,Y,Yes,18,4,3,80,0,29,1,1,16,15,0,10,Yes
21,Travel_Rarely,428,Research & Development,7,3,Other,1,58,4,Female,69,2,3,Healthcare Representative,3,Single,10062,20720,3,Y,Yes,15,3,3,80,0,3,0,1,3,3,3,1,Yes
46,Travel_Rarely,1289,Research & Development,24,4,Technical Degree,1,59,3,Male,95,3,4,Research Scientist,2,Married,13541,9676,6,Y,Yes,12,3,4,80,3,22,3,2,22,11,11,8,No
35,Non-Travel,1051,Research & Development,9,5,Medical,1,60,4,Male,73,4,2,Sales Representative,2,Married,8496,3580,1,Y,Yes,12,3,1,80,1,17,3,2,12,12,12,8,No
43,Travel_Rarely,1223,Research & Development,8,2,Life Sciences,1,61,4,Female,52,4,4,Manufacturing Director,3,Married,13348,17787,0,Y,Yes,14,3,1,80,2,25,1,4,25,8,2,11,No
51,Travel_Rarely,720,Research & Development,5,5,Marketing,1,62,4,Female,35,4,2,Laboratory Technician,3,Married,8478,11600,0,Y,No,17,3,4,80,2,14,0,2,14,6,0,12,No
27,Travel_Rarely,1296,Research & Development,19,1,Medical,1,63,3,Female,95,2,5,Research Director,4,Married,16364,17412,9,Y,No,24,3,4,80,3,2,5,2,2,2,2,2,No
53,Travel_Rarely,261,Research & Development,10,3,Life Sciences,1,64,4,Female,50,2,5,Manufacturing Director,1,Divorced,17152,26750,5,Y,Yes,20,4,2,80,2,8,1,3,7,7,7,7,Yes
31,Non-Travel,875,Sales,11,4,Life Sciences,1,65,3,Female,64,4,5,Manufacturing Director,3,Single,17159,24176,4,Y,Yes,14,3,1,80,3,7,3,1,7,7,7,7,No
48,Travel_Rarely,1386,Sales,25,5,Life Sciences,1,66,2,Female,58,2,3,Research Director,1,Single,11063,26130,0,Y,No,19,3,3,80,1,30,2,1,24,6,14,6,No
32,Travel_Rarely,373,Sales,15,4,Human Resources,1,67,2,Male,36,2,3,Sales Executive,4,Divorced,11488,2473,9,Y,No,12,3,3,80,3,14,6,2,10,10,2,1,Yes
25,Travel_Frequently,1126,Research & Development,6,5,Medical,1,68,4,Male,82,1,2,Human Resources,1,Married,7423,13624,2,Y,Yes,16,3,1,80,2,7,3,2,7,5,7,7,Yes
31,Non-Travel,1151,Research & Development,15,1,Marketing,1,69,2,Female,66,1,1,Sales Representative,1,Married,3844,18653,6,Y,No,14,3,4,80,2,13,0,4,13,7,1,13,Yes
40,Travel_Frequently,425,Research & Development,5,2,Marketing,1,70,3,Female,52,4,3,Research Scientist,4,Married,9967,24934,8,Y,No,16,3,2,80,3,0,3,3,0,0,0,0,No
57,Travel_Rarely,1039,Sales,29,4,Life Sciences,1,71,2,Female,37,4,2,Manager,3,Married,7480,19077,8,Y,No,20,4,3,80,2,39,4,1,25,7,9,9,No
38,Travel_Rarely,1272,Research & Development,19,4,Medical,1,72,4,Male,77,1,4,Research Director,1,Single,12640,14663,5,Y,No,19,3,2,80,3,4,3,1,4,4,4,2,No
33,Travel_Rarely,639,Research & Development,22,2,Human Resources,1,73,3,Female,39,2,5,Healthcare Representative,3,Married,16529,19799,2,Y,No,20,3,3,80,2,15,4,2,15,9,9,12,No
35,Travel_Rarely,587,Sales,19,4,Life Sciences,1,74,1,Male,53,2,5,Manager,3,Divorced,16168,16517,0,Y,No,22,4,3,80,0,10,1,2,10,1,8,10,No
41,Travel_Rarely,921,Research & Development,10,4,Other,1,75,3,Male,76,3,5,Research Director,2,Married,17141,20467,2,Y,No,19,4,1,80,1,23,5,3,23,3,7,9,No
43,Travel_Rarely,1188,Sales,12,5,Marketing,1,76,2,Male,82,4,2,Manager,3,Single,7130,19619,9,Y,Yes,19,3,3,80,2,25,4,1,25,1,2,1,No
42,Non-Travel,455,Research & Development,22,5,Technical Degree,1,77,1,Female,68,4,5,Human Resources,3,Divorced,17172,5967,1,Y,No,19,3,2,80,2,16,3,3,6,6,0,6,No
58,Travel_Frequently,1375,Research & Development,4,2,Life Sciences,1,78,3,Female,96,4,3,Human Resources,1,Married,11064,26709,4,Y,Yes,13,3,2,80,2,22,5,1,22,9,4,3,No
46,Travel_Frequently,334,Sales,18,1,Other,1,79,1,Male,95,3,4,Human Resources,3,Single,14201,15211,7,Y,Yes,22,3,1,80,3,17,6,2,1,1,1,1,Yes
32,Non-Travel,326,Sales,16,4,Marketing,1,80,1,Male,35,3,5,Manager,3,Divorced,16588,23169,4,Y,No,21,4,3,80,2,14,5,3,14,5,2,6,No
18,Travel_Rarely,1436,Research & Development,8,1,Human Resources,1,81,1,Male,50,2,2,Human Resources,2,Single,7579,24509,0,Y,No,24,3,2,80,3,0,3,4,0,0,0,0,Yes
42,Travel_Frequently,148,Research & Development,4,2,Medical,1,82,3,Male,65,1,4,Laboratory Technician,2,Divorced,13297,8634,2,Y,No,19,3,4,80,2,24,3,2,2,2,2,2,No
24,Travel_Frequently,217,Research & Development,25,2,Marketing,1,83,2,Female,32,1,5,Healthcare Representative,1,Married,17405,24352,4,Y,Yes,13,3,1,80,0,4,6,4,4,1,4,4,Yes
